Merge #	Pair (bytes)	Pair (decoded)	Result (hex)
741	(41, 61)	(A, a)	4161
742	(48, 45)	(H, E)	4845
743	(54, 48)	(T, H)	5448
744	(56, 6f)	(V, o)	566f
745	(67, 70)	(g, p)	6770
746	(4e, 47)	(N, G)	4e47
747	(68, 70)	(h, p)	6870
748	(32, 30)	(2, 0)	3230
749	(31, 32)	(1, 2)	3132
750	(45, 74)	(E, t)	4574
751	(52, 41)	(R, A)	5241
752	(20, 39)	( , 9)	2039
753	(75, 75)	(u, u)	7575
754	(77, 70)	(w, p)	7770
755	(50, 4f)	(P, O)	504f
756	(69, 77)	(i, w)	6977
757	(44, 79)	(D, y)	4479
758	(49, 76)	(I, v)	4976
759	(43, 52)	(C, R)	4352
760	(53, 48)	(S, H)	5348
761	(42, 4f)	(B, O)	424f
762	(30, 30)	(0, 0)	3030
763	(41, 42)	(A, B)	4142
764	(41, 53)	(A, S)	4153
765	(67, 62)	(g, b)	6762
766	(55, 6d)	(U, m)	556d
767	(69, 79)	(i, y)	6979
768	(64, 6a)	(d, j)	646a
769	(42, 43)	(B, C)	4243
770	(6b, 6b)	(k, k)	6b6b
771	(45, 67)	(E, g)	4567
772	(99, 2e)	(99, 2e)	992e
773	(3a, 22)	(:, ")	3a22
774	(3f, 2c)	(?, ,)	3f2c
775	(75, 68)	(u, h)	7568
776	(21, 2c)	(!, ,)	212c
777	(6c, 67)	(l, g)	6c67
778	(4e, 4f)	(N, O)	4e4f
779	(6b, 6d)	(k, m)	6b6d
780	(45, 45)	(E, E)	4545
781	(c3, a9)	(c3, a9)	c3a9
782	(4f, 4d)	(O, M)	4f4d
783	(41, 52)	(A, R)	4152
784	(41, 4e)	(A, N)	414e
785	(4f, 79)	(O, y)	4f79
786	(52, 4f)	(R, O)	524f
787	(43, 73)	(C, s)	4373
788	(31, 31)	(1, 1)	3131
789	(41, 79)	(A, y)	4179
790	(4b, 6f)	(K, o)	4b6f
791	(44, 56)	(D, V)	4456
792	(20, 38)	( , 8)	2038
793	(56, 44)	(V, D)	5644
794	(20, 2e)	( , .)	202e
795	(6b, 67)	(k, g)	6b67
796	(67, 6d)	(g, m)	676d
797	(42, 45)	(B, E)	4245
798	(20, 36)	( , 6)	2036
799	(21, 21)	(!, !)	2121
800	(39, 31)	(9, 1)	3931
801	(45, 50)	(E, P)	4550
802	(4f, 41)	(O, A)	4f41
803	(20, 28)	( , ()	2028
804	(21, 3f)	(!, ?)	213f
805	(77, 67)	(w, g)	7767
806	(41, 41)	(A, A)	4141
807	(75, 6f)	(u, o)	756f
808	(20, 37)	( , 7)	2037
809	(4f, 62)	(O, b)	4f62
810	(53, 54)	(S, T)	5354
811	(77, 74)	(w, t)	7774
812	(42, 41)	(B, A)	4241
813	(7a, 6d)	(z, m)	7a6d
814	(31, 35)	(1, 5)	3135
815	(41, 43)	(A, C)	4143
816	(4b, 72)	(K, r)	4b72
817	(54, 4f)	(T, O)	544f
818	(61, 71)	(a, q)	6171
819	(6f, 4d)	(o, M)	6f4d
820	(4f, 4e)	(O, N)	4f4e
821	(67, 66)	(g, f)	6766
822	(41, 50)	(A, P)	4150
823	(4c, 41)	(L, A)	4c41
824	(33, 30)	(3, 0)	3330
825	(49, 4e)	(I, N)	494e
826	(6d, 68)	(m, h)	6d68
827	(47, 68)	(G, h)	4768
828	(53, 4e)	(S, N)	534e
829	(4e, 41)	(N, A)	4e41
830	(61, 42)	(a, B)	6142
831	(53, 50)	(S, P)	5350
832	(52, 72)	(R, r)	5272
833	(68, 63)	(h, c)	6863
834	(66, c3)	(66, c3)	66c3
835	(20, 24)	( , $)	2024
836	(45, 69)	(E, i)	4569
837	(50, 4c)	(P, L)	504c
838	(62, 76)	(b, v)	6276
839	(70, 77)	(p, w)	7077
840	(43, 4b)	(C, K)	434b
841	(35, 30)	(5, 0)	3530
842	(52, 52)	(R, R)	5252
843	(45, 65)	(E, e)	4565
844	(44, 73)	(D, s)	4473
845	(69, 69)	(i, i)	6969
846	(20, 60)	( , `)	2060
847	(52, 45)	(R, E)	5245
848	(79, 6a)	(y, j)	796a
849	(22, 27)	(", ')	2227
850	(32, 33)	(2, 3)	3233
851	(48, 4f)	(H, O)	484f
852	(4f, 55)	(O, U)	4f55
853	(60, 60)	(`, `)	6060
854	(44, 4f)	(D, O)	444f
855	(45, 52)	(E, R)	4552
856	(41, 65)	(A, e)	4165
857	(41, 54)	(A, T)	4154
858	(45, 53)	(E, S)	4553
859	(49, 61)	(I, a)	4961
860	(62, 68)	(b, h)	6268
861	(62, 6d)	(b, m)	626d
862	(43, 79)	(C, y)	4379
863	(55, 72)	(U, r)	5572
864	(4f, 6d)	(O, m)	4f6d
865	(66, 63)	(f, c)	6663
866	(20, 2c)	( , ,)	202c
867	(74, 67)	(t, g)	7467
868	(4f, 57)	(O, W)	4f57
869	(6e, 42)	(n, B)	6e42
870	(a6, e2)	(a6, e2)	a6e2
871	(63, 71)	(c, q)	6371
872	(7a, 75)	(z, u)	7a75
873	(47, 4f)	(G, O)	474f
874	(43, 41)	(C, A)	4341
875	(50, 73)	(P, s)	5073
876	(76, 76)	(v, v)	7676
877	(41, 57)	(A, W)	4157
878	(41, 59)	(A, Y)	4159
879	(32, 35)	(2, 5)	3235
880	(21, 2e)	(!, .)	212e
881	(4d, 45)	(M, E)	4d45
882	(56, 45)	(V, E)	5645
883	(57, 4f)	(W, O)	574f
884	(49, 54)	(I, T)	4954
885	(74, 76)	(t, v)	7476
886	(43, 48)	(C, H)	4348
887	(4c, 4f)	(L, O)	4c4f
888	(59, 45)	(Y, E)	5945
889	(6b, 72)	(k, r)	6b72
890	(6b, 74)	(k, t)	6b74
891	(70, 64)	(p, d)	7064
892	(45, 4c)	(E, L)	454c
893	(42, 7a)	(B, z)	427a
894	(45, 41)	(E, A)	4541
895	(49, 64)	(I, d)	4964
896	(5c, 22)	(\, ")	5c22
897	(77, 63)	(w, c)	7763
898	(4d, 59)	(M, Y)	4d59
899	(4f, 46)	(O, F)	4f46
900	(56, 73)	(V, s)	5673
901	(c2, a0)	(c2, a0)	c2a0
902	(20, 21)	( , !)	2021
903	(4c, 45)	(L, E)	4c45
904	(49, 53)	(I, S)	4953
905	(4c, 4c)	(L, L)	4c4c
906	(4f, 54)	(O, T)	4f54
907	(59, 4f)	(Y, O)	594f
908	(76, 75)	(v, u)	7675
909	(41, 48)	(A, H)	4148
910	(54, 45)	(T, E)	5445
911	(34, 30)	(4, 0)	3430
912	(c3, b1)	(c3, b1)	c3b1
913	(22, 22)	(", ")	2222
914	(44, 49)	(D, I)	4449
915	(45, 44)	(E, D)	4544
916	(47, 45)	(G, E)	4745
917	(48, 41)	(H, A)	4841
918	(20, 3f)	( , ?)	203f
919	(41, 4c)	(A, L)	414c
920	(53, 73)	(S, s)	5373
921	(57, 41)	(W, A)	5741
922	(62, 7a)	(b, z)	627a
923	(69, c3)	(69, c3)	69c3
924	(6b, 64)	(k, d)	6b64
925	(6f, c3)	(6f, c3)	6fc3
926	(70, 67)	(p, g)	7067
927	(20, 3a)	( , :)	203a
928	(35, 35)	(5, 5)	3535
929	(31, 38)	(1, 8)	3138
930	(4c, 49)	(L, I)	4c49
931	(48, 48)	(H, H)	4848
932	(63, 44)	(c, D)	6344
933	(79, 79)	(y, y)	7979
934	(99, 2c)	(99, 2c)	992c
935	(4d, 63)	(M, c)	4d63
936	(52, 49)	(R, I)	5249
937	(45, 75)	(E, u)	4575
938	(4f, 52)	(O, R)	4f52
939	(6d, 72)	(m, r)	6d72
940	(41, 6b)	(A, k)	416b
941	(42, 49)	(B, I)	4249
942	(44, 41)	(D, A)	4441
943	(48, 49)	(H, I)	4849
944	(49, 44)	(I, D)	4944
945	(4e, 4b)	(N, K)	4e4b
946	(4f, 7a)	(O, z)	4f7a
947	(45, 79)	(E, y)	4579
948	(5a, 7a)	(Z, z)	5a7a
949	(4d, 4f)	(M, O)	4d4f
950	(53, 45)	(S, E)	5345
951	(45, 4e)	(E, N)	454e
952	(49, 47)	(I, G)	4947
953	(5a, 4f)	(Z, O)	5a4f
954	(5f, 5f)	(_, _)	5f5f
955	(72, 71)	(r, q)	7271
956	(20, 26)	( , &)	2026
957	(41, 78)	(A, x)	4178
958	(46, 4f)	(F, O)	464f
959	(55, 4e)	(U, N)	554e
960	(31, 36)	(1, 6)	3136
961	(c2, b4)	(c2, b4)	c2b4
962	(22, 3f)	(", ?)	223f
963	(4e, 45)	(N, E)	4e45
964	(54, 49)	(T, I)	5449
965	(78, 77)	(x, w)	7877
966	(b1, 61)	(b1, 61)	b161
967	(65, 42)	(e, B)	6542
968	(45, 58)	(E, X)	4558
969	(66, 6e)	(f, n)	666e
970	(49, 4c)	(I, L)	494c
971	(4c, 6c)	(L, l)	4c6c
972	(50, 45)	(P, E)	5045
973	(5a, 75)	(Z, u)	5a75
974	(99, e2)	(99, e2)	99e2
975	(20, 5f)	( , _)	205f
976	(2e, 29)	(., ))	2e29
977	(6d, 64)	(m, d)	6d64
978	(55, 53)	(U, S)	5553
979	(58, 49)	(X, I)	5849
980	(68, 6b)	(h, k)	686b
981	(69, 68)	(i, h)	6968
982	(70, 6e)	(p, n)	706e
983	(4d, 41)	(M, A)	4d41
984	(59, 41)	(Y, A)	5941
985	(29, 2e)	(), .)	292e
986	(33, 36)	(3, 6)	3336
987	(55, 46)	(U, F)	5546
988	(80, 8b)	(80, 8b)	808b
989	(33, 34)	(3, 4)	3334
990	(41, 4d)	(A, M)	414d
991	(4b, 45)	(K, E)	4b45
992	(4e, 44)	(N, D)	4e44
993	(69, 6a)	(i, j)	696a
994	(a6, 22)	(a6, 22)	a622
995	(20, 30)	( , 0)	2030
996	(31, 34)	(1, 4)	3134
997	(4a, 4a)	(J, J)	4a4a
998	(53, 4f)	(S, O)	534f
999	(65, 43)	(e, C)	6543
1000	(6b, 68)	(k, h)	6b68
1001	(80, 8a)	(80, 8a)	808a
1002	(21, 60)	(!, `)	2160
1003	(41, 44)	(A, D)	4144
1004	(43, 4f)	(C, O)	434f
1005	(46, 52)	(F, R)	4652
1006	(4b, 75)	(K, u)	4b75
1007	(4f, 56)	(O, V)	4f56
1008	(50, 4a)	(P, J)	504a
1009	(72, 7a)	(r, z)	727a
1010	(55, 52)	(U, R)	5552
1011	(59, 76)	(Y, v)	5976
1012	(33, 35)	(3, 5)	3335
1013	(41, 4b)	(A, K)	414b
1014	(48, 55)	(H, U)	4855
1015	(49, 43)	(I, C)	4943
1016	(49, 50)	(I, P)	4950
1017	(20, 5c)	( , \)	205c
1018	(41, 4a)	(A, J)	414a
1019	(42, 52)	(B, R)	4252
1020	(44, 4a)	(D, J)	444a
1021	(4b, 6c)	(K, l)	4b6c
1022	(20, 2a)	( , *)	202a
1023	(2e, 2c)	(., ,)	2e2c
1024	(2e, 60)	(., `)	2e60
1025	(33, 38)	(3, 8)	3338
1026	(36, 30)	(6, 0)	3630
1027	(45, 54)	(E, T)	4554
1028	(49, 6c)	(I, l)	496c
1029	(53, 41)	(S, A)	5341
1030	(58, 61)	(X, a)	5861
1031	(9d, 21)	(9d, 21)	9d21
1032	(41, 6a)	(A, j)	416a
1033	(42, 42)	(B, B)	4242
1034	(43, 45)	(C, E)	4345
1035	(4a, 72)	(J, r)	4a72
1036	(4c, 59)	(L, Y)	4c59
1037	(4d, 49)	(M, I)	4d49
1038	(55, 54)	(U, T)	5554
1039	(41, 7a)	(A, z)	417a
1040	(44, 45)	(D, E)	4445
1041	(4e, 54)	(N, T)	4e54
1042	(57, 45)	(W, E)	5745
1043	(57, 79)	(W, y)	5779
1044	(7a, 62)	(z, b)	7a62
1045	(7a, 72)	(z, r)	7a72
1046	(c3, b3)	(c3, b3)	c3b3
1047	(21, 29)	(!, ))	2129
1048	(38, 30)	(8, 0)	3830
1049	(3f, 3f)	(?, ?)	3f3f
1050	(45, 7a)	(E, z)	457a
1051	(49, 6b)	(I, k)	496b
1052	(4f, 47)	(O, G)	4f47
1053	(4f, 53)	(O, S)	4f53
1054	(53, 53)	(S, S)	5353
1055	(54, 41)	(T, A)	5441
1056	(55, 43)	(U, C)	5543
1057	(5a, 5a)	(Z, Z)	5a5a
1058	(69, 46)	(i, F)	6946
1059	(2a, 2a)	(*, *)	2a2a
1060	(32, 31)	(2, 1)	3231
1061	(39, 39)	(9, 9)	3939
1062	(31, 37)	(1, 7)	3137
1063	(52, 53)	(R, S)	5253
1064	(57, 75)	(W, u)	5775
1065	(74, 6b)	(t, k)	746b
1066	(42, 51)	(B, Q)	4251
1067	(49, 56)	(I, V)	4956
1068	(52, 55)	(R, U)	5255
1069	(55, 6c)	(U, l)	556c
1070	(4a, 73)	(J, s)	4a73
1071	(4c, 43)	(L, C)	4c43
1072	(53, 49)	(S, I)	5349
1073	(55, 47)	(U, G)	5547
1074	(5a, 45)	(Z, E)	5a45
1075	(67, 77)	(g, w)	6777
1076	(78, 6c)	(x, l)	786c
1077	(31, 33)	(1, 3)	3133
1078	(46, 46)	(F, F)	4646
1079	(57, 48)	(W, H)	5748
1080	(62, 63)	(b, c)	6263
1081	(79, 76)	(y, v)	7976
1082	(3f, 60)	(?, `)	3f60
1083	(47, 49)	(G, I)	4749
1084	(4c, 50)	(L, P)	4c50
1085	(50, 52)	(P, R)	5052
1086	(6f, 43)	(o, C)	6f43
1087	(21, 5c)	(!, \)	215c
1088	(45, 63)	(E, c)	4563
1089	(46, 49)	(F, I)	4649
1090	(4e, 49)	(N, I)	4e49
1091	(51, 55)	(Q, U)	5155
1092	(57, 49)	(W, I)	5749
1093	(77, 42)	(w, B)	7742
1094	(20, c2)	(20, c2)	20c2
1095	(27, 2d)	(', -)	272d
1096	(33, 31)	(3, 1)	3331
1097	(47, 79)	(G, y)	4779
1098	(49, 4b)	(I, K)	494b
1099	(49, 4d)	(I, M)	494d
1100	(50, 50)	(P, P)	5050
1101	(52, 59)	(R, Y)	5259
1102	(54, 52)	(T, R)	5452
1103	(62, 6e)	(b, n)	626e
1104	(82, ac)	(82, ac)	82ac
1105	(99, 21)	(99, 21)	9921
1106	(99, 3f)	(99, 3f)	993f
1107	(c3, a2)	(c3, a2)	c3a2
1108	(e2, 82)	(e2, 82)	e282
1109	(20, 3c)	( , <)	203c
1110	(42, 55)	(B, U)	4255
1111	(50, 66)	(P, f)	5066
1112	(59, 55)	(Y, U)	5955
1113	(60, 2e)	(`, .)	602e
1114	(68, 67)	(h, g)	6867
1115	(6d, c3)	(6d, c3)	6dc3
1116	(a6, 2e)	(a6, 2e)	a62e
1117	(29, 2c)	(), ,)	292c
1118	(2e, 3f)	(., ?)	2e3f
1119	(31, 39)	(1, 9)	3139
1120	(41, 49)	(A, I)	4149
1121	(41, 71)	(A, q)	4171
1122	(43, 4c)	(C, L)	434c
1123	(45, 5a)	(E, Z)	455a
1124	(48, 72)	(H, r)	4872
1125	(4f, 49)	(O, I)	4f49
1126	(4f, 59)	(O, Y)	4f59
1127	(55, 4d)	(U, M)	554d
1128	(55, 50)	(U, P)	5550
1129	(57, 57)	(W, W)	5757
1130	(58, 73)	(X, s)	5873
1131	(63, 47)	(c, G)	6347
1132	(65, 4a)	(e, J)	654a
1133	(74, 44)	(t, D)	7444
1134	(78, 71)	(x, q)	7871
1135	(20, 3d)	( , =)	203d
1136	(32, 37)	(2, 7)	3237
1137	(42, c3)	(42, c3)	42c3
1138	(47, 41)	(G, A)	4741
1139	(4f, 4c)	(O, L)	4f4c
1140	(53, 43)	(S, C)	5343
1141	(53, 55)	(S, U)	5355
1142	(58, 69)	(X, i)	5869
1143	(60, 2c)	(`, ,)	602c
1144	(63, 64)	(c, d)	6364
1145	(79, 7a)	(y, z)	797a
1146	(e1, b4)	(e1, b4)	e1b4
1147	(20, 2b)	( , +)	202b
1148	(43, 4a)	(C, J)	434a
1149	(45, 56)	(E, V)	4556
1150	(4d, 4d)	(M, M)	4d4d
1151	(4e, 53)	(N, S)	4e53
1152	(50, 41)	(P, A)	5041
1153	(52, 54)	(R, T)	5254
1154	(53, 4c)	(S, L)	534c
1155	(64, 4a)	(d, J)	644a
1156	(67, 54)	(g, T)	6754
1157	(69, 4c)	(i, L)	694c
1158	(20, 5b)	( , [)	205b
1159	(33, 32)	(3, 2)	3332
1160	(33, 37)	(3, 7)	3337
1161	(3c, 2f)	(<, /)	3c2f
1162	(41, 47)	(A, G)	4147
1163	(46, 55)	(F, U)	4655
1164	(50, 49)	(P, I)	5049
1165	(52, 4e)	(R, N)	524e
1166	(56, 49)	(V, I)	5649
1167	(63, 6d)	(c, m)	636d
1168	(6c, 7a)	(l, z)	6c7a
1169	(6e, c3)	(6e, c3)	6ec3
1170	(73, 6a)	(s, j)	736a
1171	(74, c3)	(74, c3)	74c3
1172	(78, 62)	(x, b)	7862
1173	(79, 6b)	(y, k)	796b
1174	(20, 2f)	( , /)	202f
1175	(34, 35)	(4, 5)	3435
1176	(48, 79)	(H, y)	4879
1177	(49, 4f)	(I, O)	494f
1178	(4b, 77)	(K, w)	4b77
1179	(4f, 44)	(O, D)	4f44
1180	(4f, 48)	(O, H)	4f48
1181	(50, 55)	(P, U)	5055
1182	(54, 4c)	(T, L)	544c
1183	(5a, 49)	(Z, I)	5a49
1184	(5c, e2)	(5c, e2)	5ce2
1185	(6c, 48)	(l, H)	6c48
1186	(6d, 54)	(m, T)	6d54
1187	(72, 42)	(r, B)	7242
1188	(2a, 2e)	(*, .)	2a2e
1189	(2d, 22)	(-, ")	2d22
1190	(32, 32)	(2, 2)	3232
1191	(32, 38)	(2, 8)	3238
1192	(39, 35)	(9, 5)	3935
1193	(3a, e2)	(3a, e2)	3ae2
1194	(41, 58)	(A, X)	4158
1195	(42, 4c)	(B, L)	424c
1196	(45, 71)	(E, q)	4571
1197	(46, 41)	(F, A)	4641
1198	(47, 6e)	(G, n)	476e
1199	(49, 45)	(I, E)	4945
1200	(49, 52)	(I, R)	4952
1201	(4b, 49)	(K, I)	4b49
1202	(4b, 7a)	(K, z)	4b7a
1203	(4d, 77)	(M, w)	4d77
1204	(52, 4d)	(R, M)	524d
1205	(53, 76)	(S, v)	5376
1206	(55, 41)	(U, A)	5541
1207	(62, 66)	(b, f)	6266
1208	(64, 4d)	(d, M)	644d
1209	(69, 44)	(i, D)	6944
1210	(6c, c3)	(6c, c3)	6cc3
1211	(6f, 59)	(o, Y)	6f59
1212	(75, 4a)	(u, J)	754a
1213	(75, 77)	(u, w)	7577
1214	(7a, 77)	(z, w)	7a77
1215	(b1, 6f)	(b1, 6f)	b16f
1216	(20, 23)	( , #)	2023
1217	(20, c3)	(20, c3)	20c3
1218	(3f, 5c)	(?, \)	3f5c
1219	(41, 56)	(A, V)	4156
1220	(42, 4a)	(B, J)	424a
1221	(42, 68)	(B, h)	4268
1222	(43, c3)	(43, c3)	43c3
1223	(45, 47)	(E, G)	4547
1224	(45, 4f)	(E, O)	454f
1225	(45, 57)	(E, W)	4557
1226	(45, 70)	(E, p)	4570
1227	(49, 6f)	(I, o)	496f
1228	(4e, 43)	(N, C)	4e43
1229	(50, 70)	(P, p)	5070
1230	(55, 45)	(U, E)	5545
1231	(55, 49)	(U, I)	5549
1232	(55, 62)	(U, b)	5562
1233	(56, 50)	(V, P)	5650
1234	(57, 52)	(W, R)	5752
1235	(59, 49)	(Y, I)	5949
1236	(5f, 2e)	(_, .)	5f2e
1237	(61, c3)	(61, c3)	61c3
1238	(63, 51)	(c, Q)	6351
1239	(64, 54)	(d, T)	6454
1240	(6f, 71)	(o, q)	6f71
1241	(a9, 65)	(a9, 65)	a965
1242	(a9, 73)	(a9, 73)	a973
1243	(22, 5b)	(", [)	225b
1244	(2c, 2e)	(,, .)	2c2e
1245	(32, 34)	(2, 4)	3234
1246	(39, 30)	(9, 0)	3930
1247	(3a, 28)	(:, ()	3a28
1248	(3f, 2e)	(?, .)	3f2e
1249	(47, 52)	(G, R)	4752
1250	(4a, 6a)	(J, j)	4a6a
1251	(4c, 44)	(L, D)	4c44
1252	(4c, 55)	(L, U)	4c55
1253	(4d, c3)	(4d, c3)	4dc3
1254	(54, 55)	(T, U)	5455
1255	(55, 44)	(U, D)	5544
1256	(55, 4c)	(U, L)	554c
1257	(56, 41)	(V, A)	5641
1258	(65, 45)	(e, E)	6545
1259	(6f, 41)	(o, A)	6f41
1260	(6f, 4e)	(o, N)	6f4e
1261	(6f, 50)	(o, P)	6f50
1262	(70, 6a)	(p, j)	706a
1263	(73, 76)	(s, v)	7376
1264	(74, 41)	(t, A)	7441
1265	(75, 4c)	(u, L)	754c
1266	(75, c3)	(75, c3)	75c3
1267	(79, 44)	(y, D)	7944
1268	(79, 78)	(y, x)	7978
1269	(84, a2)	(84, a2)	84a2
1270	(89, 6d)	(89, 6d)	896d
1271	(ac, e2)	(ac, e2)	ace2
1272	(b3, 6e)	(b3, 6e)	b36e
1273	(c2, bf)	(c2, bf)	c2bf
1274	(c3, 89)	(c3, 89)	c389
1275	(e2, 84)	(e2, 84)	e284
1276	(0a, c2)	(0a, c2)	0ac2
1277	(22, e2)	(22, e2)	22e2
1278	(2c, 2c)	(,, ,)	2c2c
1279	(2e, 5c)	(., \)	2e5c
1280	(30, 31)	(0, 1)	3031
1281	(37, 36)	(7, 6)	3736
1282	(39, 38)	(9, 8)	3938
1283	(44, 44)	(D, D)	4444
1284	(45, 43)	(E, C)	4543
1285	(45, 59)	(E, Y)	4559
1286	(46, 73)	(F, s)	4673
1287	(47, 48)	(G, H)	4748
1288	(47, 55)	(G, U)	4755
1289	(48, 52)	(H, R)	4852
1290	(4d, 55)	(M, U)	4d55
1291	(4d, 56)	(M, V)	4d56
1292	(4e, 79)	(N, y)	4e79
1293	(50, 59)	(P, Y)	5059
1294	(53, 56)	(S, V)	5356
1295	(55, 74)	(U, t)	5574
1296	(62, 70)	(b, p)	6270
1297	(63, 4b)	(c, K)	634b
1298	(65, 44)	(e, D)	6544
1299	(65, 46)	(e, F)	6546
1300	(65, 53)	(e, S)	6553
1301	(66, 67)	(f, g)	6667
1302	(69, 50)	(i, P)	6950
1303	(6f, 46)	(o, F)	6f46
1304	(74, 54)	(t, T)	7454
1305	(77, 4d)	(w, M)	774d
1306	(7a, 74)	(z, t)	7a74
1307	(8e, 89)	(8e, 89)	8e89
1308	(98, e2)	(98, e2)	98e2
1309	(9d, 3f)	(9d, 3f)	9d3f
1310	(b1, b3)	(b1, b3)	b1b3
1311	(b3, 42)	(b3, 42)	b342
1312	(c3, ad)	(c3, ad)	c3ad
1313	(e7, b1)	(e7, b1)	e7b1
1314	(21, 2a)	(!, *)	212a
1315	(21, c2)	(21, c2)	21c2
1316	(22, c2)	(22, c2)	22c2
1317	(27, e2)	(27, e2)	27e2
1318	(2c, 60)	(,, `)	2c60
1319	(30, 32)	(0, 2)	3032
1320	(30, 35)	(0, 5)	3035
1321	(32, 39)	(2, 9)	3239
1322	(33, 39)	(3, 9)	3339
1323	(34, 32)	(4, 2)	3432
1324	(36, 35)	(6, 5)	3635
1325	(37, 30)	(7, 0)	3730
1326	(42, 6e)	(B, n)	426e
1327	(43, 54)	(C, T)	4354
1328	(44, 4d)	(D, M)	444d
1329	(44, 59)	(D, Y)	4459
1330	(45, 4b)	(E, K)	454b
1331	(45, 68)	(E, h)	4568
1332	(46, 79)	(F, y)	4679
1333	(47, 4e)	(G, N)	474e
1334	(47, 53)	(G, S)	4753
1335	(49, 46)	(I, F)	4946
1336	(4a, 41)	(J, A)	4a41
1337	(4e, 4e)	(N, N)	4e4e
1338	(4e, 59)	(N, Y)	4e59
1339	(4f, 42)	(O, B)	4f42
1340	(50, 42)	(P, B)	5042
1341	(52, 50)	(R, P)	5250
1342	(54, 43)	(T, C)	5443
1343	(57, 4e)	(W, N)	574e
1344	(5a, 41)	(Z, A)	5a41
1345	(5c, 27)	(\, ')	5c27
1346	(63, 42)	(c, B)	6342
1347	(63, 53)	(c, S)	6353
1348	(63, c3)	(63, c3)	63c3
1349	(64, 41)	(d, A)	6441
1350	(64, 44)	(d, D)	6444
1351	(64, 53)	(d, S)	6453
1352	(64, 7a)	(d, z)	647a
1353	(65, 4c)	(e, L)	654c
1354	(65, 4e)	(e, N)	654e
1355	(65, 56)	(e, V)	6556
1356	(68, c3)	(68, c3)	68c3
1357	(6a, 79)	(j, y)	6a79
1358	(6d, 67)	(m, g)	6d67
1359	(6d, 6b)	(m, k)	6d6b
1360	(74, 4a)	(t, J)	744a
1361	(74, 53)	(t, S)	7453
1362	(93, e2)	(93, e2)	93e2
1363	(9c, 2e)	(9c, 2e)	9c2e
1364	(a9, 6d)	(a9, 6d)	a96d
1365	(c2, ad)	(c2, ad)	c2ad
1366	(c3, a0)	(c3, a0)	c3a0
1367	(c3, a1)	(c3, a1)	c3a1
1368	(c3, a8)	(c3, a8)	c3a8
1369	(22, 3a)	(", :)	223a
1370	(23, 23)	(#, #)	2323
1371	(30, 39)	(0, 9)	3039
1372	(35, 32)	(5, 2)	3532
1373	(39, 37)	(9, 7)	3937
1374	(43, 49)	(C, I)	4349
1375	(49, 41)	(I, A)	4941
1376	(4b, 41)	(K, A)	4b41
1377	(4b, 4c)	(K, L)	4b4c
1378	(4c, 53)	(L, S)	4c53
1379	(4d, 50)	(M, P)	4d50
1380	(4f, 43)	(O, C)	4f43
1381	(4f, 67)	(O, g)	4f67
1382	(50, 77)	(P, w)	5077
1383	(54, 53)	(T, S)	5453
1384	(55, 42)	(U, B)	5542
1385	(56, 52)	(V, R)	5652
1386	(58, 79)	(X, y)	5879
1387	(59, 47)	(Y, G)	5947
1388	(59, 53)	(Y, S)	5953
1389	(64, 42)	(d, B)	6442
1390	(64, 47)	(d, G)	6447
1391	(69, 43)	(i, C)	6943
1392	(6d, c4)	(6d, c4)	6dc4
1393	(6e, 4a)	(n, J)	6e4a
1394	(70, 7a)	(p, z)	707a
1395	(71, 65)	(q, e)	7165
1396	(77, 43)	(w, C)	7743
1397	(78, 73)	(x, s)	7873
1398	(80, a8)	(80, a8)	80a8
1399	(81, 6f)	(81, 6f)	816f
1400	(a8, 76)	(a8, 76)	a876
1401	(af, 76)	(af, 76)	af76
1402	(b1, 65)	(b1, 65)	b165
1403	(c2, a3)	(c2, a3)	c2a3
1404	(c2, ab)	(c2, ab)	c2ab
1405	(c2, bb)	(c2, bb)	c2bb
1406	(c3, af)	(c3, af)	c3af
1407	(c4, 81)	(c4, 81)	c481
1408	(c5, 93)	(c5, 93)	c593
1409	(e3, 80)	(e3, 80)	e380
1410	(0a, 09)	(
, 	)	0a09
1411	(20, 29)	( , ))	2029
1412	(22, 28)	(", ()	2228
1413	(25, 2c)	(%, ,)	252c
1414	(2a, 2c)	(*, ,)	2a2c
1415	(3a, 2d)	(:, -)	3a2d
1416	(3f, 29)	(?, ))	3f29
1417	(41, 46)	(A, F)	4146
1418	(41, 5a)	(A, Z)	415a
1419	(42, 5a)	(B, Z)	425a
1420	(44, 77)	(D, w)	4477
1421	(46, 45)	(F, E)	4645
1422	(46, 4c)	(F, L)	464c
1423	(47, 42)	(G, B)	4742
1424	(49, 5a)	(I, Z)	495a
1425	(4a, 55)	(J, U)	4a55
1426	(4a, 68)	(J, h)	4a68
1427	(4b, 68)	(K, h)	4b68
1428	(4c, 54)	(L, T)	4c54
1429	(4c, 74)	(L, t)	4c74
1430	(4d, 68)	(M, h)	4d68
1431	(50, 4d)	(P, M)	504d
1432	(52, 44)	(R, D)	5244
1433	(53, 47)	(S, G)	5347
1434	(53, 4b)	(S, K)	534b
1435	(53, 57)	(S, W)	5357
1436	(54, 54)	(T, T)	5454
1437	(58, 50)	(X, P)	5850
1438	(5a, 59)	(Z, Y)	5a59
1439	(64, 71)	(d, q)	6471
1440	(65, 4d)	(e, M)	654d
1441	(68, 4a)	(h, J)	684a
1442	(73, c3)	(73, c3)	73c3
