ID	Token (bytes)	Token (decoded)	Length
1097	434b	'CK'	2
1098	3530	'50'	2
1099	5252	'RR'	2
1100	4565	'Ee'	2
1101	4473	'Ds'	2
1102	6969	'ii'	2
1103	2060	' `'	2
1104	5245	'RE'	2
1105	796a	'yj'	2
1106	2227	'"\''	2
1107	3233	'23'	2
1108	484f	'HO'	2
1109	4f55	'OU'	2
1110	6060	'``'	2
1111	444f	'DO'	2
1112	4552	'ER'	2
1113	4165	'Ae'	2
1114	4154	'AT'	2
1115	4553	'ES'	2
1116	4961	'Ia'	2
1117	6268	'bh'	2
1118	626d	'bm'	2
1119	4379	'Cy'	2
1120	5572	'Ur'	2
1121	4f6d	'Om'	2
1122	6663	'fc'	2
1123	202c	' ,'	2
1124	7467	'tg'	2
1125	4f57	'OW'	2
1126	6e42	'nB'	2
1127	a6e2	<not UTF-8>	2
1128	6371	'cq'	2
1129	7a75	'zu'	2
1130	474f	'GO'	2
1131	4341	'CA'	2
1132	5073	'Ps'	2
1133	7676	'vv'	2
1134	4157	'AW'	2
1135	4159	'AY'	2
1136	3235	'25'	2
1137	212e	'!.'	2
1138	4d45	'ME'	2
1139	5645	'VE'	2
1140	574f	'WO'	2
1141	4954	'IT'	2
1142	7476	'tv'	2
1143	4348	'CH'	2
1144	4c4f	'LO'	2
1145	5945	'YE'	2
1146	6b72	'kr'	2
1147	6b74	'kt'	2
1148	7064	'pd'	2
1149	454c	'EL'	2
1150	427a	'Bz'	2
1151	4541	'EA'	2
1152	4964	'Id'	2
1153	5c22	'\\"'	2
1154	7763	'wc'	2
1155	4d59	'MY'	2
1156	4f46	'OF'	2
1157	5673	'Vs'	2
1158	c2a0	'\xa0'	2
1159	2021	' !'	2
1160	4c45	'LE'	2
1161	4953	'IS'	2
1162	4c4c	'LL'	2
1163	4f54	'OT'	2
1164	594f	'YO'	2
1165	7675	'vu'	2
1166	4148	'AH'	2
1167	5445	'TE'	2
1168	3430	'40'	2
1169	c3b1	'ñ'	2
1170	2222	'""'	2
1171	4449	'DI'	2
1172	4544	'ED'	2
1173	4745	'GE'	2
1174	4841	'HA'	2
1175	203f	' ?'	2
1176	414c	'AL'	2
1177	5373	'Ss'	2
1178	5741	'WA'	2
1179	627a	'bz'	2
1180	69c3	<not UTF-8>	2
1181	6b64	'kd'	2
1182	6fc3	<not UTF-8>	2
1183	7067	'pg'	2
1184	203a	' :'	2
1185	3535	'55'	2
1186	3138	'18'	2
1187	4c49	'LI'	2
1188	4848	'HH'	2
1189	6344	'cD'	2
1190	7979	'yy'	2
1191	992c	<not UTF-8>	2
1192	4d63	'Mc'	2
1193	5249	'RI'	2
1194	4575	'Eu'	2
1195	4f52	'OR'	2
1196	6d72	'mr'	2
1197	416b	'Ak'	2
1198	4249	'BI'	2
1199	4441	'DA'	2
1200	4849	'HI'	2
1201	4944	'ID'	2
1202	4e4b	'NK'	2
1203	4f7a	'Oz'	2
1204	4579	'Ey'	2
1205	5a7a	'Zz'	2
1206	4d4f	'MO'	2
1207	5345	'SE'	2
1208	454e	'EN'	2
1209	4947	'IG'	2
1210	5a4f	'ZO'	2
1211	5f5f	'__'	2
1212	7271	'rq'	2
1213	2026	' &'	2
1214	4178	'Ax'	2
1215	464f	'FO'	2
1216	554e	'UN'	2
1217	3136	'16'	2
1218	c2b4	'´'	2
1219	223f	'"?'	2
1220	4e45	'NE'	2
1221	5449	'TI'	2
1222	7877	'xw'	2
1223	b161	<not UTF-8>	2
1224	6542	'eB'	2
1225	4558	'EX'	2
1226	666e	'fn'	2
1227	494c	'IL'	2
1228	4c6c	'Ll'	2
1229	5045	'PE'	2
1230	5a75	'Zu'	2
1231	99e2	<not UTF-8>	2
1232	205f	' _'	2
1233	2e29	'.)'	2
1234	6d64	'md'	2
1235	5553	'US'	2
1236	5849	'XI'	2
1237	686b	'hk'	2
1238	6968	'ih'	2
1239	706e	'pn'	2
1240	4d41	'MA'	2
1241	5941	'YA'	2
1242	292e	').'	2
1243	3336	'36'	2
1244	5546	'UF'	2
1245	808b	<not UTF-8>	2
1246	3334	'34'	2
1247	414d	'AM'	2
1248	4b45	'KE'	2
1249	4e44	'ND'	2
1250	696a	'ij'	2
1251	a622	<not UTF-8>	2
1252	2030	' 0'	2
1253	3134	'14'	2
1254	4a4a	'JJ'	2
1255	534f	'SO'	2
1256	6543	'eC'	2
1257	6b68	'kh'	2
1258	808a	<not UTF-8>	2
1259	2160	'!`'	2
1260	4144	'AD'	2
1261	434f	'CO'	2
1262	4652	'FR'	2
1263	4b75	'Ku'	2
1264	4f56	'OV'	2
1265	504a	'PJ'	2
1266	727a	'rz'	2
1267	5552	'UR'	2
1268	5976	'Yv'	2
1269	3335	'35'	2
1270	414b	'AK'	2
1271	4855	'HU'	2
1272	4943	'IC'	2
1273	4950	'IP'	2
1274	205c	' \\'	2
1275	414a	'AJ'	2
1276	4252	'BR'	2
1277	444a	'DJ'	2
1278	4b6c	'Kl'	2
1279	202a	' *'	2
1280	2e2c	'.,'	2
1281	2e60	'.`'	2
1282	3338	'38'	2
1283	3630	'60'	2
1284	4554	'ET'	2
1285	496c	'Il'	2
1286	5341	'SA'	2
1287	5861	'Xa'	2
1288	9d21	<not UTF-8>	2
1289	416a	'Aj'	2
1290	4242	'BB'	2
1291	4345	'CE'	2
1292	4a72	'Jr'	2
1293	4c59	'LY'	2
1294	4d49	'MI'	2
1295	5554	'UT'	2
1296	417a	'Az'	2
1297	4445	'DE'	2
1298	4e54	'NT'	2
1299	5745	'WE'	2
1300	5779	'Wy'	2
1301	7a62	'zb'	2
1302	7a72	'zr'	2
1303	c3b3	'ó'	2
1304	2129	'!)'	2
1305	3830	'80'	2
1306	3f3f	'??'	2
1307	457a	'Ez'	2
1308	496b	'Ik'	2
1309	4f47	'OG'	2
1310	4f53	'OS'	2
1311	5353	'SS'	2
1312	5441	'TA'	2
1313	5543	'UC'	2
1314	5a5a	'ZZ'	2
1315	6946	'iF'	2
1316	2a2a	'**'	2
1317	3231	'21'	2
1318	3939	'99'	2
1319	3137	'17'	2
1320	5253	'RS'	2
1321	5775	'Wu'	2
1322	746b	'tk'	2
1323	4251	'BQ'	2
1324	4956	'IV'	2
1325	5255	'RU'	2
1326	556c	'Ul'	2
1327	4a73	'Js'	2
1328	4c43	'LC'	2
1329	5349	'SI'	2
1330	5547	'UG'	2
1331	5a45	'ZE'	2
1332	6777	'gw'	2
1333	786c	'xl'	2
1334	3133	'13'	2
1335	4646	'FF'	2
1336	5748	'WH'	2
1337	6263	'bc'	2
1338	7976	'yv'	2
1339	3f60	'?`'	2
1340	4749	'GI'	2
1341	4c50	'LP'	2
1342	5052	'PR'	2
1343	6f43	'oC'	2
1344	215c	'!\\'	2
1345	4563	'Ec'	2
1346	4649	'FI'	2
1347	4e49	'NI'	2
1348	5155	'QU'	2
1349	5749	'WI'	2
1350	7742	'wB'	2
1351	20c2	<not UTF-8>	2
1352	272d	"'-"	2
1353	3331	'31'	2
1354	4779	'Gy'	2
1355	494b	'IK'	2
1356	494d	'IM'	2
1357	5050	'PP'	2
1358	5259	'RY'	2
1359	5452	'TR'	2
1360	626e	'bn'	2
1361	82ac	<not UTF-8>	2
1362	9921	<not UTF-8>	2
1363	993f	<not UTF-8>	2
1364	c3a2	'â'	2
1365	e282	<not UTF-8>	2
1366	203c	' <'	2
1367	4255	'BU'	2
1368	5066	'Pf'	2
1369	5955	'YU'	2
1370	602e	'`.'	2
1371	6867	'hg'	2
1372	6dc3	<not UTF-8>	2
1373	a62e	<not UTF-8>	2
1374	292c	'),'	2
1375	2e3f	'.?'	2
1376	3139	'19'	2
1377	4149	'AI'	2
1378	4171	'Aq'	2
1379	434c	'CL'	2
1380	455a	'EZ'	2
1381	4872	'Hr'	2
1382	4f49	'OI'	2
1383	4f59	'OY'	2
1384	554d	'UM'	2
1385	5550	'UP'	2
1386	5757	'WW'	2
1387	5873	'Xs'	2
1388	6347	'cG'	2
1389	654a	'eJ'	2
1390	7444	'tD'	2
1391	7871	'xq'	2
1392	203d	' ='	2
1393	3237	'27'	2
1394	42c3	<not UTF-8>	2
1395	4741	'GA'	2
1396	4f4c	'OL'	2
1397	5343	'SC'	2
1398	5355	'SU'	2
1399	5869	'Xi'	2
1400	602c	'`,'	2
1401	6364	'cd'	2
1402	797a	'yz'	2
1403	e1b4	<not UTF-8>	2
1404	202b	' +'	2
1405	434a	'CJ'	2
1406	4556	'EV'	2
1407	4d4d	'MM'	2
1408	4e53	'NS'	2
1409	5041	'PA'	2
1410	5254	'RT'	2
1411	534c	'SL'	2
1412	644a	'dJ'	2
1413	6754	'gT'	2
1414	694c	'iL'	2
1415	205b	' ['	2
1416	3332	'32'	2
1417	3337	'37'	2
1418	3c2f	'</'	2
1419	4147	'AG'	2
1420	4655	'FU'	2
1421	5049	'PI'	2
1422	524e	'RN'	2
1423	5649	'VI'	2
1424	636d	'cm'	2
1425	6c7a	'lz'	2
1426	6ec3	<not UTF-8>	2
1427	736a	'sj'	2
1428	74c3	<not UTF-8>	2
1429	7862	'xb'	2
1430	796b	'yk'	2
1431	202f	' /'	2
1432	3435	'45'	2
1433	4879	'Hy'	2
1434	494f	'IO'	2
1435	4b77	'Kw'	2
1436	4f44	'OD'	2
1437	4f48	'OH'	2
1438	5055	'PU'	2
1439	544c	'TL'	2
1440	5a49	'ZI'	2
1441	5ce2	<not UTF-8>	2
1442	6c48	'lH'	2
1443	6d54	'mT'	2
1444	7242	'rB'	2
1445	2a2e	'*.'	2
1446	2d22	'-"'	2
1447	3232	'22'	2
1448	3238	'28'	2
1449	3935	'95'	2
1450	3ae2	<not UTF-8>	2
1451	4158	'AX'	2
1452	424c	'BL'	2
1453	4571	'Eq'	2
1454	4641	'FA'	2
1455	476e	'Gn'	2
1456	4945	'IE'	2
1457	4952	'IR'	2
1458	4b49	'KI'	2
1459	4b7a	'Kz'	2
1460	4d77	'Mw'	2
1461	524d	'RM'	2
1462	5376	'Sv'	2
1463	5541	'UA'	2
1464	6266	'bf'	2
1465	644d	'dM'	2
1466	6944	'iD'	2
1467	6cc3	<not UTF-8>	2
1468	6f59	'oY'	2
1469	754a	'uJ'	2
1470	7577	'uw'	2
1471	7a77	'zw'	2
1472	b16f	<not UTF-8>	2
1473	2023	' #'	2
1474	20c3	<not UTF-8>	2
1475	3f5c	'?\\'	2
1476	4156	'AV'	2
1477	424a	'BJ'	2
1478	4268	'Bh'	2
1479	43c3	<not UTF-8>	2
1480	4547	'EG'	2
1481	454f	'EO'	2
1482	4557	'EW'	2
1483	4570	'Ep'	2
1484	496f	'Io'	2
1485	4e43	'NC'	2
1486	5070	'Pp'	2
1487	5545	'UE'	2
1488	5549	'UI'	2
1489	5562	'Ub'	2
1490	5650	'VP'	2
1491	5752	'WR'	2
1492	5949	'YI'	2
1493	5f2e	'_.'	2
1494	61c3	<not UTF-8>	2
1495	6351	'cQ'	2
1496	6454	'dT'	2
1497	6f71	'oq'	2
1498	a965	<not UTF-8>	2
1499	a973	<not UTF-8>	2
1500	225b	'"['	2
1501	2c2e	',.'	2
1502	3234	'24'	2
1503	3930	'90'	2
1504	3a28	':('	2
1505	3f2e	'?.'	2
1506	4752	'GR'	2
1507	4a6a	'Jj'	2
1508	4c44	'LD'	2
1509	4c55	'LU'	2
1510	4dc3	<not UTF-8>	2
1511	5455	'TU'	2
1512	5544	'UD'	2
1513	554c	'UL'	2
1514	5641	'VA'	2
1515	6545	'eE'	2
1516	6f41	'oA'	2
1517	6f4e	'oN'	2
1518	6f50	'oP'	2
1519	706a	'pj'	2
1520	7376	'sv'	2
1521	7441	'tA'	2
1522	754c	'uL'	2
1523	75c3	<not UTF-8>	2
1524	7944	'yD'	2
1525	7978	'yx'	2
1526	84a2	<not UTF-8>	2
1527	896d	<not UTF-8>	2
1528	ace2	<not UTF-8>	2
1529	b36e	<not UTF-8>	2
1530	c2bf	'¿'	2
1531	c389	'É'	2
1532	e284	<not UTF-8>	2
1533	0ac2	<not UTF-8>	2
1534	22e2	<not UTF-8>	2
1535	2c2c	',,'	2
1536	2e5c	'.\\'	2
1537	3031	'01'	2
1538	3736	'76'	2
1539	3938	'98'	2
1540	4444	'DD'	2
1541	4543	'EC'	2
1542	4559	'EY'	2
1543	4673	'Fs'	2
1544	4748	'GH'	2
1545	4755	'GU'	2
1546	4852	'HR'	2
1547	4d55	'MU'	2
1548	4d56	'MV'	2
1549	4e79	'Ny'	2
1550	5059	'PY'	2
1551	5356	'SV'	2
1552	5574	'Ut'	2
1553	6270	'bp'	2
1554	634b	'cK'	2
1555	6544	'eD'	2
1556	6546	'eF'	2
1557	6553	'eS'	2
1558	6667	'fg'	2
1559	6950	'iP'	2
1560	6f46	'oF'	2
1561	7454	'tT'	2
1562	774d	'wM'	2
1563	7a74	'zt'	2
1564	8e89	<not UTF-8>	2
1565	98e2	<not UTF-8>	2
1566	9d3f	<not UTF-8>	2
1567	b1b3	<not UTF-8>	2
1568	b342	<not UTF-8>	2
1569	c3ad	'í'	2
1570	e7b1	<not UTF-8>	2
1571	212a	'!*'	2
1572	21c2	<not UTF-8>	2
1573	22c2	<not UTF-8>	2
1574	27e2	<not UTF-8>	2
1575	2c60	',`'	2
1576	3032	'02'	2
1577	3035	'05'	2
1578	3239	'29'	2
1579	3339	'39'	2
1580	3432	'42'	2
1581	3635	'65'	2
1582	3730	'70'	2
1583	426e	'Bn'	2
1584	4354	'CT'	2
1585	444d	'DM'	2
1586	4459	'DY'	2
1587	454b	'EK'	2
1588	4568	'Eh'	2
1589	4679	'Fy'	2
1590	474e	'GN'	2
1591	4753	'GS'	2
1592	4946	'IF'	2
1593	4a41	'JA'	2
1594	4e4e	'NN'	2
1595	4e59	'NY'	2
1596	4f42	'OB'	2
1597	5042	'PB'	2
1598	5250	'RP'	2
1599	5443	'TC'	2
1600	574e	'WN'	2
1601	5a41	'ZA'	2
1602	5c27	"\\'"	2
1603	6342	'cB'	2
1604	6353	'cS'	2
1605	63c3	<not UTF-8>	2
1606	6441	'dA'	2
1607	6444	'dD'	2
1608	6453	'dS'	2
1609	647a	'dz'	2
1610	654c	'eL'	2
1611	654e	'eN'	2
1612	6556	'eV'	2
1613	68c3	<not UTF-8>	2
1614	6a79	'jy'	2
1615	6d67	'mg'	2
1616	6d6b	'mk'	2
1617	744a	'tJ'	2
1618	7453	'tS'	2
1619	93e2	<not UTF-8>	2
1620	9c2e	<not UTF-8>	2
1621	a96d	<not UTF-8>	2
1622	c2ad	'\xad'	2
1623	c3a0	'à'	2
1624	c3a1	'á'	2
1625	c3a8	'è'	2
1626	223a	'":'	2
1627	2323	'##'	2
1628	3039	'09'	2
1629	3532	'52'	2
1630	3937	'97'	2
1631	4349	'CI'	2
1632	4941	'IA'	2
1633	4b41	'KA'	2
1634	4b4c	'KL'	2
1635	4c53	'LS'	2
1636	4d50	'MP'	2
1637	4f43	'OC'	2
1638	4f67	'Og'	2
1639	5077	'Pw'	2
1640	5453	'TS'	2
1641	5542	'UB'	2
1642	5652	'VR'	2
1643	5879	'Xy'	2
1644	5947	'YG'	2
1645	5953	'YS'	2
1646	6442	'dB'	2
1647	6447	'dG'	2
1648	6943	'iC'	2
1649	6dc4	<not UTF-8>	2
1650	6e4a	'nJ'	2
1651	707a	'pz'	2
1652	7165	'qe'	2
1653	7743	'wC'	2
1654	7873	'xs'	2
1655	80a8	<not UTF-8>	2
1656	816f	<not UTF-8>	2
1657	a876	<not UTF-8>	2
1658	af76	<not UTF-8>	2
1659	b165	<not UTF-8>	2
1660	c2a3	'£'	2
1661	c2ab	'«'	2
1662	c2bb	'»'	2
1663	c3af	'ï'	2
1664	c481	'ā'	2
1665	c593	'œ'	2
1666	e380	<not UTF-8>	2
1667	0a09	'\n\t'	2
1668	2029	' )'	2
1669	2228	'"('	2
1670	252c	'%,'	2
1671	2a2c	'*,'	2
1672	3a2d	':-'	2
1673	3f29	'?)'	2
1674	4146	'AF'	2
1675	415a	'AZ'	2
1676	425a	'BZ'	2
1677	4477	'Dw'	2
1678	4645	'FE'	2
1679	464c	'FL'	2
1680	4742	'GB'	2
1681	495a	'IZ'	2
1682	4a55	'JU'	2
1683	4a68	'Jh'	2
1684	4b68	'Kh'	2
1685	4c54	'LT'	2
1686	4c74	'Lt'	2
1687	4d68	'Mh'	2
1688	504d	'PM'	2
1689	5244	'RD'	2
1690	5347	'SG'	2
1691	534b	'SK'	2
1692	5357	'SW'	2
1693	5454	'TT'	2
1694	5850	'XP'	2
1695	5a59	'ZY'	2
1696	6471	'dq'	2
1697	654d	'eM'	2
1698	684a	'hJ'	2
1699	73c3	<not UTF-8>	2
1700	7664	'vd'	2
1701	7673	'vs'	2
1702	7866	'xf'	2
1703	7943	'yC'	2
1704	8082	<not UTF-8>	2
1705	8089	<not UTF-8>	2
1706	8095	<not UTF-8>	2
1707	809e	<not UTF-8>	2
1708	89e7	<not UTF-8>	2
1709	a0c2	<not UTF-8>	2
1710	a9e5	<not UTF-8>	2
1711	bb96	<not UTF-8>	2
1712	bbbf	<not UTF-8>	2
1713	bc8c	<not UTF-8>	2
1714	c2a7	'§'	2
1715	e4bb	<not UTF-8>	2
1716	e5b7	<not UTF-8>	2
1717	e78e	<not UTF-8>	2
1718	efbb	<not UTF-8>	2
1719	efbc	<not UTF-8>	2
1720	f09f	<not UTF-8>	2
1721	2224	'"$'	2
1722	223c	'"<'	2
1723	252e	'%.'	2
1724	293a	'):'	2
1725	2c21	',!'	2
1726	2c5c	',\\'	2
1727	2d29	'-)'	2
1728	2e2a	'.*'	2
1729	3437	'47'	2
1730	3536	'56'	2
1731	3538	'58'	2
1732	3735	'75'	2
1733	3738	'78'	2
1734	3a29	':)'	2
1735	3b22	';"'	2
1736	416f	'Ao'	2
1737	4355	'CU'	2
1738	444c	'DL'	2
1739	4452	'DR'	2
1740	4453	'DS'	2
1741	4542	'EB'	2
1742	4548	'EH'	2
1743	4549	'EI'	2
1744	454d	'EM'	2
1745	4566	'Ef'	2
1746	4854	'HT'	2
1747	4a45	'JE'	2
1748	4a49	'JI'	2
1749	4a4f	'JO'	2
1750	4d42	'MB'	2
1751	4d47	'MG'	2
1752	4e73	'Ns'	2
1753	5053	'PS'	2
1754	5247	'RG'	2
1755	524b	'RK'	2
1756	5753	'WS'	2
1757	5759	'WY'	2
1758	6264	'bd'	2
1759	626b	'bk'	2
1760	6450	'dP'	2
1761	65c3	<not UTF-8>	2
1762	6a73	'js'	2
1763	6b51	'kQ'	2
1764	6d42	'mB'	2
1765	6e41	'nA'	2
1766	7248	'rH'	2
1767	724d	'rM'	2
1768	7252	'rR'	2
1769	7554	'uT'	2
1770	756a	'uj'	2
1771	766e	'vn'	2
1772	81a9	<not UTF-8>	2
1773	89be	<not UTF-8>	2
1774	9422	<not UTF-8>	2
1775	a62c	<not UTF-8>	2
1776	b36d	<not UTF-8>	2
1777	b3e8	<not UTF-8>	2
1778	b487	<not UTF-8>	2
1779	b4e6	<not UTF-8>	2
1780	b7b4	<not UTF-8>	2
1781	be88	<not UTF-8>	2
1782	bee7	<not UTF-8>	2
1783	c2a1	'¡'	2
1784	e4ba	<not UTF-8>	2
1785	e5a5	<not UTF-8>	2
1786	e5be	<not UTF-8>	2
1787	e681	<not UTF-8>	2
1788	e889	<not UTF-8>	2
1789	e88e	<not UTF-8>	2
1790	090a	'\t\n'	2
1791	2009	' \t'	2
1792	20ef	<not UTF-8>	2
1793	20f0	<not UTF-8>	2
1794	212d	'!-'	2
1795	222a	'"*'	2
1796	225c	'"\\'	2
1797	273a	"':"	2
1798	273b	"';"	2
1799	2a21	'*!'	2
1800	2a22	'*"'	2
1801	2b2e	'+.'	2
1802	2de2	<not UTF-8>	2
1803	2e21	'.!'	2
1804	2eef	<not UTF-8>	2
1805	2f2e	'/.'	2
1806	3438	'48'	2
1807	3534	'54'	2
1808	3634	'64'	2
1809	3732	'72'	2
1810	3734	'74'	2
1811	3835	'85'	2
1812	3c7c	'<|'	2
1813	3e22	'>"'	2
1814	3e2e	'>.'	2
1815	3fc2	<not UTF-8>	2
1816	4155	'AU'	2
1817	424d	'BM'	2
1818	4257	'BW'	2
1819	4259	'BY'	2
1820	4359	'CY'	2
1821	4447	'DG'	2
1822	4747	'GG'	2
1823	474b	'GK'	2
1824	4750	'GP'	2
1825	4759	'GY'	2
1826	4844	'HD'	2
1827	4859	'HY'	2
1828	4873	'Hs'	2
1829	4877	'Hw'	2
1830	4942	'IB'	2
1831	4949	'II'	2
1832	4959	'IY'	2
1833	4965	'Ie'	2
1834	4977	'Iw'	2
1835	4c57	'LW'	2
1836	4e4c	'NL'	2
1837	4e56	'NV'	2
1838	4f45	'OE'	2
1839	4f64	'Od'	2
1840	5079	'Py'	2
1841	5169	'Qi'	2
1842	534d	'SM'	2
1843	53c3	<not UTF-8>	2
1844	544d	'TM'	2
1845	5457	'TW'	2
1846	5556	'UV'	2
1847	5563	'Uc'	2
1848	574b	'WK'	2
1849	574c	'WL'	2
1850	5843	'XC'	2
1851	5946	'YF'	2
1852	5a54	'ZT'	2
1853	5d2c	'],'	2
1854	5f21	'_!'	2
1855	6367	'cg'	2
1856	6377	'cw'	2
1857	637a	'cz'	2
1858	6445	'dE'	2
1859	6449	'dI'	2
1860	6452	'dR'	2
1861	64c3	<not UTF-8>	2
1862	6549	'eI'	2
1863	6550	'eP'	2
1864	6668	'fh'	2
1865	6763	'gc'	2
1866	676b	'gk'	2
1867	684d	'hM'	2
1868	6876	'hv'	2
1869	6b49	'kI'	2
1870	6b6a	'kj'	2
1871	6d59	'mY'	2
1872	6e47	'nG'	2
1873	6e4c	'nL'	2
1874	6e54	'nT'	2
1875	6f53	'oS'	2
1876	70c3	<not UTF-8>	2
1877	7246	'rF'	2
1878	724a	'rJ'	2
1879	7341	'sA'	2
1880	734a	'sJ'	2
1881	734d	'sM'	2
1882	7449	'tI'	2
1883	744d	'tM'	2
1884	774a	'wJ'	2
1885	7776	'wv'	2
1886	7942	'yB'	2
1887	7945	'yE'	2
1888	7954	'yT'	2
1889	7a64	'zd'	2
1890	7c3e	'|>'	2
1891	7e7e	'~~'	2
1892	8080	<not UTF-8>	2
1893	8085	<not UTF-8>	2
1894	808e	<not UTF-8>	2
1895	8091	<not UTF-8>	2
1896	80aa	<not UTF-8>	2
1897	818e	<not UTF-8>	2
1898	86e7	<not UTF-8>	2
1899	8789	<not UTF-8>	2
1900	87aa	<not UTF-8>	2
1901	87e1	<not UTF-8>	2
1902	8888	<not UTF-8>	2
1903	88e9	<not UTF-8>	2
1904	899b	<not UTF-8>	2
1905	89e5	<not UTF-8>	2
1906	89e8	<not UTF-8>	2
1907	932d	<not UTF-8>	2
1908	9342	<not UTF-8>	2
1909	94b0	<not UTF-8>	2
1910	94e6	<not UTF-8>	2
1911	96e5	<not UTF-8>	2
1912	9be7	<not UTF-8>	2
1913	9ce1	<not UTF-8>	2
1914	a00a	<not UTF-8>	2
1915	a020	<not UTF-8>	2
1916	a2e1	<not UTF-8>	2
1917	a4a9	<not UTF-8>	2
1918	a5b9	<not UTF-8>	2
1919	a627	<not UTF-8>	2
1920	a7c2	<not UTF-8>	2
1921	a963	<not UTF-8>	2
1922	a96c	<not UTF-8>	2
1923	aae1	<not UTF-8>	2
1924	aae2	<not UTF-8>	2
1925	ad6f	<not UTF-8>	2
1926	ad94	<not UTF-8>	2
1927	b3e7	<not UTF-8>	2
1928	b485	<not UTF-8>	2
1929	b48f	<not UTF-8>	2
1930	b4a2	<not UTF-8>	2
1931	b880	<not UTF-8>	2
1932	ba86	<not UTF-8>	2
1933	c3aa	'ê'	2
1934	c9aa	'ɪ'	2
1935	ca9c	'ʜ'	2
1936	e4b8	<not UTF-8>	2
1937	e580	<not UTF-8>	2
1938	e585	<not UTF-8>	2
1939	e588	<not UTF-8>	2
1940	e589	<not UTF-8>	2
1941	e687	<not UTF-8>	2
1942	e794	<not UTF-8>	2
1943	e795	<not UTF-8>	2
1944	e7ad	<not UTF-8>	2
1945	e887	<not UTF-8>	2
1946	e888	<not UTF-8>	2
1947	e981	<not UTF-8>	2
1948	2040	' @'	2
1949	207c	' |'	2
1950	207e	' ~'	2
1951	20ca	<not UTF-8>	2
1952	20e1	<not UTF-8>	2
1953	20ee	<not UTF-8>	2
1954	213c	'!<'	2
1955	2229	'")'	2
1956	222f	'"/'	2
1957	2240	'"@'	2
1958	225f	'"_'	2
1959	22ef	<not UTF-8>	2
1960	242e	'$.'	2
1961	2729	"')"	2
1962	275c	"'\\"	2
1963	2822	'("'	2
1964	2827	"('"	2
1965	282e	'(.'	2
1966	2921	')!'	2
1967	2922	')"'	2
1968	297d	')}'	2
1969	2b21	'+!'	2
1970	2c2d	',-'	2
1971	2c3a	',:'	2
1972	2c3f	',?'	2
1973	2d21	'-!'	2
1974	2d28	'-('	2
1975	2d2c	'-,'	2
1976	2d5f	'-_'	2
1977	2e26	'.&'	2
1978	2e2f	'./'	2
1979	2e5b	'.['	2
1980	2e7b	'.{'	2
1981	2ec2	<not UTF-8>	2
1982	2ef0	<not UTF-8>	2
1983	2f22	'/"'	2
1984	2f2f	'//'	2
1985	2f3f	'/?'	2
1986	3036	'06'	2
1987	3037	'07'	2
1988	3236	'26'	2
1989	3431	'41'	2
1990	3531	'51'	2
1991	3539	'59'	2
1992	3631	'61'	2
1993	3636	'66'	2
1994	3638	'68'	2
1995	3733	'73'	2
1996	3737	'77'	2
1997	3833	'83'	2
1998	3834	'84'	2
1999	3933	'93'	2
2000	3934	'94'	2
2001	3a27	":'"	2
2002	3a2f	':/'	2
2003	3b3b	';;'	2
2004	3d2c	'=,'	2
2005	3e2c	'>,'	2
2006	3f3a	'?:'	2
2007	4246	'BF'	2
2008	426a	'Bj'	2
2009	4271	'Bq'	2
2010	4273	'Bs'	2
2011	4277	'Bw'	2
2012	4342	'CB'	2
2013	4343	'CC'	2
2014	4350	'CP'	2
2015	4464	'Dd'	2
2016	4546	'EF'	2
2017	454a	'EJ'	2
2018	4551	'EQ'	2
2019	464d	'FM'	2
2020	4654	'FT'	2
2021	4659	'FY'	2
2022	4746	'GF'	2
2023	474c	'GL'	2
2024	474d	'GM'	2
2025	476d	'Gm'	2
2026	4851	'HQ'	2
2027	4853	'HS'	2
2028	4857	'HW'	2
2029	4948	'IH'	2
2030	4951	'IQ'	2
2031	4968	'Ih'	2
2032	4969	'Ii'	2
2033	4971	'Iq'	2
2034	49c3	<not UTF-8>	2
2035	4a66	'Jf'	2
2036	4b4b	'KK'	2
2037	4b4e	'KN'	2
2038	4b53	'KS'	2
2039	4b55	'KU'	2
2040	4b59	'KY'	2
2041	4c4d	'LM'	2
2042	4c56	'LV'	2
2043	4c73	'Ls'	2
2044	4cc3	<not UTF-8>	2
2045	4d52	'MR'	2
2046	4d53	'MS'	2
2047	4d57	'MW'	2
2048	4e6e	'Nn'	2
2049	4f58	'OX'	2
2050	4f65	'Oe'	2
2051	5043	'PC'	2
2052	504e	'PN'	2
2053	5062	'Pb'	2
2054	5152	'QR'	2
2055	5158	'QX'	2
2056	5246	'RF'	2
2057	524c	'RL'	2
2058	527a	'Rz'	2
2059	5351	'SQ'	2
2060	5359	'SY'	2
2061	5367	'Sg'	2
2062	537a	'Sz'	2
2063	5459	'TY'	2
2064	5462	'Tb'	2
2065	5559	'UY'	2
2066	555a	'UZ'	2
2067	556b	'Uk'	2
2068	5643	'VC'	2
2069	5648	'VH'	2
2070	564f	'VO'	2
2071	5675	'Vu'	2
2072	5744	'WD'	2
2073	5859	'XY'	2
2074	5942	'YB'	2
2075	594d	'YM'	2
2076	597a	'Yz'	2
2077	5a51	'ZQ'	2
2078	5a64	'Zd'	2
2079	5a73	'Zs'	2
2080	5d22	']"'	2
2081	5d2e	'].'	2
2082	5d5d	']]'	2
2083	5f27	"_'"	2
